Patriot Games,12.02
8MM,54.08
Mother (Mat),89.80
French Kiss,98.92
U2: Rattle and Hum,63.47
"Count Yorga, Vampire",65.04
"O Brother, Where Art Thou?",76.68
Bruce Almighty,29.65
Price Check,82.52
3:10 to Yuma,97.77
Cast A Deadly Spell,76.34
Come Early Morning,70.44
Bad Guy (Nabbeun namja),22.71
"Very Thought of You, The",58.89
"Free Soul, A",79.36
"Taming of the Shrew, The",97.19
Mr. & Mrs. Smith,33.02
Secret Admirer,43.61
Fubar,22.19
Two-Lane Blacktop,95.06
Stigmata,17.94
Service (Serbis),23.50
Requiem for a Vampire (Vierges et vampires),26.66
Traitor,82.63
Doppelgänger Paul,99.13
Robinson Crusoe (Daniel Defoe's Robinson Crusoe),59.85
Sacco and Vanzetti (Sacco e Vanzetti),99.73
Gentleman Jim,43.74
Life of Crime,42.79
Macheads,34.93
Harry Potter and the Deathly Hallows: Part 1,84.05
11 Flowers (Wo 11),9.00
Rounders,81.83
Dance of the Dead,67.78
The Oscar,27.79
Rabbit Test,99.17
Let's Get Lost,19.87
"Aviator's Wife, The (La femme de l'aviateur)",33.46
Exposed,17.23
"Game Plan, The",81.96
Alien Contamination,90.00
"Last Season, The",68.67
Dumplings (Gaau ji),8.12
Thief of Damascus,4.40
Mother of George,35.18
Conceiving Ada,93.63
Romero,58.23
Riding in Cars with Boys,68.67
"Son of Kong, The",32.08
1408,31.28
Robot & Frank,56.35
"Over-Eater, The (L'outremangeur)",66.94
It's Pat,40.37
OKA!,73.81
Italianamerican,96.14
"That Night in Varennes (Nuit de Varennes, La)",86.11
It's a Gift,1.47
Swamp Shark,84.97
My Best Friend (Mon meilleur ami),69.16
Warrior,68.65
Sling Blade,25.87
"Artist, The (El Artista)",79.52
"Remember the Daze (Beautiful Ordinary, The)",67.16
"Soul of Bread, The (Ai de mian bao hun)",64.43
"Bon Voyage, Charlie Brown (and Don't Come Back!)",14.38
Clouds of Sils Maria,10.89
West of Memphis,18.47
"Tree Grows in Brooklyn, A",11.24
Dunston Checks In,30.40
Journey to the Center of the Earth,12.44
Gardens of the Night,49.15
Dick Tracy vs. Cueball,43.68
"Boys in the Band, The",74.62
Two Rabbits (2 Coelhos),5.22
Royal Wedding,29.40
Friday the 13th Part 3: 3D,86.14
First Blood (Rambo: First Blood),96.70
Zandalee,55.93
"Coward, The (Kapurush)",84.20
Beslan: Three Days in September,74.72
"Godfather, The",16.02
Under the Bombs,84.58
Beyond the Lights,14.02
"Crime of Father Amaro, The (Crimen del padre Amaro, El)",53.66
"File on Thelma Jordan, The",12.79
Where's Marlowe?,40.92
"First $20 Million Is Always the Hardest, The",19.84
Piglet's Big Movie,2.65
"Mole People, The",92.42
"Mighty Macs, The",46.31
44 Minutes: The North Hollywood Shoot-Out,74.23
Cobb,13.81
Timerider: The Adventure of Lyle Swann,32.58
Captain Kidd,70.77
How to Make Love to a Woman,54.68
"Boxer, The",35.29
"Art of War, The",47.93
Sacrifice (Zhao shi gu er),49.37
Geri's Game,59.95
"Boot, Das (Boat, The)",43.34
Malibu High,29.10
Carolina Moon,3.17
Madam Satan,92.36
Something Wicked This Way Comes,74.56
Designing Woman,30.03
Hav Plenty,40.43
Detour,75.75
Dancing Lady,58.85
Gypsy,75.34
Creepshow,18.58
David and Lisa,31.73
"Dust of Time, The",42.37
Kenji Mizoguchi: The Life of a Film Director (Aru eiga-kantoku no shogai),55.92
Windy Day (Tuulinen päivä),74.30
Dragon Tiger Gate (Lung fu moon),25.62
Vengo,84.84
Flowers in the Attic,9.74
"Last Winter, The",64.72
Chouchou,18.83
Wolf,81.98
"Railway Children, The",96.47
Judge Dredd,65.39
13Hrs,28.87
"Nada Gang, The (Nada)",79.03
License to Drive,82.30
10.5,74.89
Hatfields & McCoys,62.39
"Adventures of Tom Sawyer, The",89.52
Fraternity Vacation,7.87
Film ist. 7-12,99.39
"Marathon Family, The (Maratonci Trce Pocasni Krug)",33.13
Poultrygeist: Night of the Chicken Dead,19.16
Lord of Tears,98.13
All Through the Night,46.82
54,73.13
Once Upon a Time in Shanghai,49.43
Being John Malkovich,32.88
Uptown Girls,57.78
Resurrection,63.52
"Little Giant, The",57.97
Bookies,79.96
Mean Streets,20.95
Abominable,90.61
Thelma & Louise,52.19
Long Time Dead,5.51
Pastoral Hide and Seek (Den-en ni shisu),86.25
Holiday Engagement,67.57
If These Walls Could Talk,19.37
We Live Again,74.19
"Tiger of Eschnapur, The (Tiger von Eschnapur, Der)",29.44
Zift,9.06
Nobody Else But You (Poupoupidou),2.89
Incubus,11.35
"Lady of Chance, A",37.93
Now Where Did the Seventh Company Get to? (Mais où est donc passée la 7ème compagnie),2.65
"Little Prince, The",2.27
Coming Home (Gui lai),98.25
Deliverance,20.25
Looking for Mr. Goodbar,48.04
Winter Soldier,73.40
Cosmonaut (Cosmonauta),53.40
By the Bluest of Seas (U samogo sinego morya),86.57
"Southerner, The",12.37
"Tall Guy, The",19.33
"View from the Top, A",2.60
Drop Dead Fred,72.37
Sitting Pretty,70.26
The First Movie,54.90
The Testimony,7.23
Green Dragon,24.19
Come Dance with Me!,93.97
"Sunshine Boys, The",46.93
Jean Renoir: Part One - From La Belle Époque to World War II,4.15
Body Parts,50.91
Visioneers,39.48
Hollywood Shuffle,45.89
Remember My Name,48.60
Sorority Babes in the Slimeball Bowl-O-Rama,28.35
People Like Us,49.79
Africa: Texas Style,41.79
Trigun: Badlands Rumble,19.39
Venom,94.15
Griff the Invisible,5.69
The Last Five Years,41.16
Randy and the Mob,66.34
Mr. Wrong,26.16
"Last Supper, The",64.57
Stranger Than Paradise,3.56
Abendland,13.61
Moonlight and Cactus,82.11
Silent Witness (Do Not Disturb),62.50
Crooks in Clover (a.k.a. Monsieur Gangster) (Les tontons flingueurs),86.12
"Padrecito, El (Little Priest)",51.46
Blind Dating,28.65
Puppet Master vs. Demonic Toys (Puppet Master 9),57.53
Transformers,83.03
Goemon,5.43
ZMD: Zombies of Mass Destruction,70.13
Heaven's Prisoners,64.14
Oedipus Rex (Edipo re),23.86
Earth vs. the Spider,32.00
Feds,76.20
"Legend of Leigh Bowery, The",89.66
Ballast,73.70
Sukiyaki Western Django,47.80
"Trip to Mars, A",11.28
All is Bright,89.58
White Men Can't Jump,23.10
Up at the Villa,58.39
The Crowded Sky,51.14
Cast Away,10.51
Way... Way Out,49.60
End of the Century: The Story of the Ramones,33.58
Let Me In,43.74
TMNT (Teenage Mutant Ninja Turtles),16.80
Love Loves Coincidences,45.10
Far from the Madding Crowd,23.50
"Man Who Knew Too Little, The",66.48
"Nun, The (La monja) ",59.36
Bachelor Night,7.66
Edge of Seventeen,45.47
Evolver,77.36
Invisible Invaders,72.99
Phaedra,62.58
Below,60.29
"Magic Voyage of Sindbad, The (Sadko)",29.54
Exporting Raymond,46.90
Beast from Haunted Cave,7.28
Lethal Weapon 2,91.55
Young Aphrodites (Mikres Afrodites),16.51
"Devil Is a Woman, The",26.49
Boat People (Tau ban no hoi),31.05
Topaz,41.39
Calamity Jane,65.77
Rocket Singh: Salesman of the Year,75.53
Castaway,1.90
The Big Cube,27.65
Alien: Resurrection,48.95
Compliance,30.22
All or Nothing,55.13
"Polar Bear King, The (Kvitebjørn Kong Valemon)",43.78
Warm Bodies,89.78
"Long Good Friday, The",70.38
Beach Red,24.46
"Gold of Naples, The (L'oro di Napoli)",66.64
Doc of the Dead,5.19
Kogel mogel,50.37
Road Hard,24.65
Re-Animator,18.02
6ixtynin9 (Ruang Talok 69),96.76
The Butterfly Effect 2,49.53
Little Nicky,94.96
Penny Dreadful,33.49
Crooklyn,65.20
When Strangers Appear,43.62
Touchback,88.53
Mosquito Squadron,41.88
Brother's War,22.79
"Brave, The",86.72
Guy and Madeline on a Park Bench,20.42
The Court-Martial of Jackie Robinson,5.28
Shall We Kiss? (Un baiser s'il vous plait),10.26
Kommissarie Späck,42.73
Witchboard,18.69
Cut and Run (Inferno in diretta),89.58
Ju-on: The Curse 2,17.66
Pornstar: The Legend of Ron Jeremy,83.13
Kiss Me (Kyss Mig),21.62
Mad Love,68.14
Senso,12.65
RoboCop,78.03
Reykjavik Whale Watching Massacre,79.33
Big Bad Mama,2.96
Heaven's Burning,89.94
"Adventures of Baron Munchausen, The",15.61
Quills,95.00
Hyde Park on Hudson,2.29
And Along Come Tourists (Am Ende kommen Touristen),64.66
Inspector Bellamy (Bellamy),98.81
Ladybird Ladybird,40.20
Lucky Number Slevin,96.59
Spring Breakers,35.89
Mirage Men,78.38
Delhi Belly,1.97
Red,31.27
Sidewalks of London (St. Martin's Lane),71.80
"Apparition, The",38.22
"Magus, The",81.27
Barbarian Queen II: The Empress Strikes Back,35.10
Management,72.17
Interview,93.18
Vamp,30.02
Liliom,37.58
Chasing Christmas,71.02
"Steamroller and the Violin, The (Katok i skripka)",93.61
Ferngully: The Last Rainforest,69.37
"Second Chance, The",35.78
Simon of the Desert (Simón del desierto),46.66
"Feuerzangenbowle, Die",70.89
The Retrieval,60.88
After Image (Seeing in the Dark),62.82
Major League,7.98
Attack of the 5 Ft. 2 Women (National Lampoon's Attack of the 5 Ft 2 Woman),58.75
Imaginary Crimes,88.50
Dragonheart 2: A New Beginning,95.56
Still Alice,41.42
"Misérables, Les",15.23
Kill Buljo: The Movie,98.78
"Dresser, The",41.06
MGS: Philanthropy,0.07
...tick... tick... tick...,91.60
Thirteen Days,22.17
Dragon Lord (a.k.a. Dragon Strike) (Long Xiao Ye),76.94
Jab We Met,60.37
Born to Be Wild,19.13
H.H. Holmes: America's First Serial Killer,26.73
Endurance,17.11
Pola X,72.88
Formosa Betrayed,26.68
Toe to Toe,43.10
"Nightmare Castle (Amanti d'oltretomba) (Lovers from Beyond the Tomb) (Faceless Monster, The)",30.66
The (Dead Mothers) Club,72.28
Closer to the Moon,15.45
Fire with Fire,93.39
Katze im Sack,6.19
Raiders of the Lost Ark: The Adaptation,65.22
Santa's Apprentice,85.20
Play it to the Bone,97.70
I Still Know What You Did Last Summer,4.35
Hoosiers (a.k.a. Best Shot),9.51
Coney Island,21.32
Equilibrium,13.39
"400 Blows, The (Les quatre cents coups)",49.71
Critters 2: The Main Course,40.08
Winter Sleep (Kis Uykusu),73.72
We're Back! A Dinosaur's Story,58.15
"Like Sunday, Like Rain",34.20
Miss Kicki,78.94
Seven Girlfriends,22.12
"Secret World of Arrietty, The (Kari-gurashi no Arietti)",57.56
"Good Day to Die Hard, A",40.57
Bikes vs Cars,91.75
Jacqueline Susann's Once Is Not Enough,19.05
Paradise: Hope (Paradies: Hoffnung),28.01
"Professionals, The",63.17
Lisbon Story,86.14
"Separation, The (Séparation, La)",18.66
Lightning Strikes Twice,98.49
"Counterfeit Coin, The (Istoria mias kalpikis liras)",19.18
Naked in New York,27.50
"Naked Man, The",10.32
"Gleaners & I, The (Les glaneurs et la glaneuse)",56.03
Heartbeats (Kohtaamisia),20.99
Cat Chaser,93.77
Harvest (Stadt Land Fluss),99.10
"Injury to One, An",44.01
Sorceress,56.13
Black Sheep,18.32
"Holy Land, The",62.68
Drömkåken,10.25
Life 2.0,56.91
Soulless,53.99
Baby... Secret of the Lost Legend,74.95
New Gladiators (I guerrieri dell'anno 2072),92.65
City of Life and Death (Nanjing! Nanjing!),71.74
Let the Right One In (Låt den rätte komma in),57.82
Jack and Diane,31.70
"Comedy of Power (Ivresse du pouvoir, L')",34.77
Comrade Pedersen (Gymnaslærer Pedersen),52.13
"Model Couple, The (Le couple témoin)",40.18
Sharktopus,65.31
"Badge, The",51.13
Ministry of Fear,38.54
"Bloody Child, The",99.94
"Angry Red Planet, The",69.72
Opera Jawa,28.74
Taking Woodstock,70.03
Hardcore,56.20
"Small Back Room, The",14.99
Oklahoma Crude,72.17
Pentimento,33.05
Mississippi Masala,2.47
Baby Face,51.73
"Box, The",70.18
Fried Green Tomatoes,45.40
Valhalla Rising,78.27
European Vacation (aka National Lampoon's European Vacation),44.53
Game 6,59.35
Boat Trip,75.50
Stuff and Dough (Marfa si banii),11.50
Setup (Set Up),54.92
Tough Guys,60.99
Kill! (Kiru),39.41
"Loneliest Planet, The",86.93
Ghost Rider: Spirit of Vengeance,46.24
Charlie Chan at the Wax Museum,13.86
Nymphomaniac: Volume I,66.54
Gregory's Girl,29.26
Evidence,40.93
Arnulf Rainer,53.82
"Django the Bastard (Strangers Gundown, The) (Django il bastardo)",11.98
Capitalism: A Love Story,21.32
"Mourning Forest, The (Mogari no mori)",58.30
Murder Ahoy,59.20
Lady Windermere's Fan,24.50
Life as a House,1.57
Set It Off,26.09
Sin City,80.69
"H.M. Pulham, Esq.",11.41
"Marriage Made in Heaven, A (Rab Ne Bana Di Jodi)",65.88
"Mummy, The",80.42
"Double Life of Veronique, The (Double Vie de Véronique, La)",13.66
Laurence Anyways,23.09
Constantine,40.63
Kid Millions,23.22
Shrek 2,60.43
Flesh and Bone,71.06
Glorious Technicolor,65.62
"Brave, The",28.16
Death on the Nile,82.62
Illegal Tender,90.68
Blackout,0.07
Comes a Horseman,19.30
Pascali's Island,8.87
5 Days of War,5.00
"Short Film About Love, A (Krótki film o milosci)",84.43
God Save the King,94.37
See You in the Morning,28.22
Stars Above,45.87
Amandla! A Revolution in Four Part Harmony,77.66
Aces: Iron Eagle III,45.00
What Is It?,18.91
Thank God It's Friday,15.68
Levottomat 3,12.25
Woman in the Dunes (Suna no onna),30.92
Fading Gigolo,27.10
I Am Jesus,8.17
loudQUIETloud: A Film About the Pixies,75.44
A Master Builder,30.12
Out of Bounds,92.73
"Great Debaters, The",68.26
Minority Report,39.70
Strange Invaders,24.03
"Old Lady and the Pigeons, The (La vieille dame et les pigeons)",3.88
Budrus,3.53
Prom Night,37.16
Swindle,13.60
"Living Skeleton, The (Kyûketsu dokuro-sen)",89.71
"Dawn Patrol, The",42.67
And Soon the Darkness,86.50
Oscar,82.96
Western,33.84
"Apartment, The (Appartement, L')",21.02
The Hire: Hostage,4.49
The Golden Eye,30.69
"Great Stone Face, The",36.29
I am Von Höfler (Variation on Werther - Private Hungary 15),2.03
Falling Awake,26.90
"Topo, El",69.15
Blonde Ice,49.32
Night and Day,68.11
Battlestar Galactica,16.64
Hangman's Curse,6.23
There's Always A Woman,47.19
She's All That,24.14
Call Northside 777,91.88
The Forest,23.07
Under the Skin of the City (Zir-e-poost-e Shahr),55.53
High on Crack Street: Lost Lives in Lowell,21.35
Adventures in Zambezia,56.95
97 Percent True,76.21
New Fist of Fury (Xin jing wu men),18.96
"Day the Universe Changed, The",95.75
"Circle, The (Dayereh)",66.06
Revenge of the Green Dragons,28.73
Sicko,80.98
Paths of Glory,19.65
Of Human Hearts,86.19
Calle 54,38.68
Doubt,48.87
Remember My Name,33.19
"Have Dreams, Will Travel",40.02
K-9,56.91
Forgive Me,2.58
Naked Blood: Megyaku (Nekeddo burâddo: Megyaku),66.32
"Strange Case of the End of Civilization as We Know It, The",35.45
Brothers (Veljekset),87.19
"Fantasticks, The",7.07
Vexille (Bekushiru: 2077 Nihon sakoku),88.74
Decision at Sundown,68.93
Oki's Movie (Ok-hui-ui yeonghwa),10.28
My Man (Mon homme),19.08
Emil i Lönneberga,15.12
Mi Amigo Hugo,26.86
I Killed My Mother (J'ai tué ma mère),69.39
"Game of Death, The (Le Jeu de la Mort)",76.56
Easy Rider,44.72
Made in U.S.A.,27.96
Hello Again,46.92
Happy Feet Two,74.70
Remember the Day,71.12
The... Beautiful Country,79.63
"Day After Tomorrow, The",21.13
My Life as McDull (Mak dau goo si),23.16
Sunshine,23.44
"Ciao, Professore! (Io speriamo che me la cavo)",24.64
"Indian in the Cupboard, The",79.61
She's Out of Control,95.24
"War, The",17.99
Unmade Beds,63.75
Wicked City (Yôjû toshi),55.19
Bells from the Deep,82.85
City by the Sea,81.54
"Rack, The",94.28
What Price Hollywood?,43.25
"Mosquito Net, The (La mosquitera)",14.99
"ChubbChubbs!, The",9.25
No Where No One (Hich Koja Hich Kas),81.39
"Harvest Month, The (Elokuu)",7.77
Rollercoaster,28.59
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn),83.67
Birth of the Living Dead,63.43
Moonraker,81.74
"Lone Ranger, The",19.81
Millie,63.90
Final Destination 5,29.75
Cardcaptor Sakura: The Sealed Card,37.47
Harishchandrachi Factory,1.70
"Girl on the Bridge, The (Fille sur le pont, La)",12.12
Bad Girl Island (Sirens of Eleuthera) (Sirens of the Caribbean),74.71
Attack of the 50 Foot Woman,17.67
Paranormal Activity: The Marked Ones,32.64
Oasis,54.92
Child's Pose,91.41
Gold,12.57
Two Friends,35.93
Godzilla vs. Destroyah (Gojira vs. Desutoroiâ) ,50.09
"Rock, The",59.05
Vampire Hunter D: Bloodlust (Banpaia hantâ D),41.74
Mr. & Mrs. Smith,17.13
Beauty and the Beast,33.57
Alone with Her,40.04
Perched on a Tree (Sur un arbre perché),88.03
America: Imagine the World Without Her,57.90
"Newest Pledge, The",49.06
Love Without Pity,69.08
The Dark Horse,82.98
Hackers,81.07
"Wind Will Carry Us, The (Bad ma ra khahad bord)",81.10
When Pigs Have Wings,23.33
Manakamana,94.82
NATO's Secret Armies (Gladio: L'esercito segreto della Nato),56.44
Spine Tingler!  The William Castle Story,20.77
Grave Encounters 2,36.35
Evolution,10.81
"Canal, The",19.64
Aces High,88.08
"Flying Leathernecks, The",81.89
Trio,29.28
Daylight Robbery,3.74
Stormheart,98.78
Atlantis: The Lost Empire,55.32
Dr. Phibes Rises Again,26.19
Montana Sky,32.83
Love and Basketball,61.16
Tar,17.93
The Hire: Ambush,34.15
Kein Bund für's Leben,77.08
"Woman's Face, A",43.91
"War Room, The",16.01
Rooster's Breakfast (Petelinji zajtrk),83.17
Lovers & Leavers (Kuutamolla),77.05
Ghost in the Shell Arise - Border 1: Ghost Pain,9.81
Hustle & Flow,87.15
"Cartoonist: Jeff Smith, BONE and the Changing Face of Comics, The",91.53
"Girl Who Played with Fire, The (Flickan som lekte med elden)",12.24
Rosewater,44.10
Doc Hollywood,85.68
"Cuenca Crime, The (Crimen de Cuenca, El)",88.70
Father Hood,67.03
"Presence, The",82.91
Broken Arrow,78.97
Superman/Batman: Apocalypse,83.90
Mile... Mile & a Half,76.85
Euphoria (Eyforiya),42.30
These Three,96.11
Get Thrashed: The Story of Thrash Metal,13.33
Bedtime Stories,27.46
Champagne,22.30
"Humanité, L'",66.09
Kal Ho Naa Ho,33.94
Every Other Week (Varannan vecka),12.12
Happiness,73.79
Second Skin (Segunda Piel),59.37
Into the White (Cross of Honour),25.30
Far,61.24
Revenge of the Ninja,35.15
My Awkward Sexual Adventure,92.27
Three to Tango,24.32
"Viking, The",91.88
"Paris, Texas",34.43
"Errand Boy, The",42.41
Henry V,85.35
"Way We Were, The",51.98
Missing,93.48
Getaway,70.28
"Little Indian, Big City (Un indien dans la ville)",67.09
Kindergarten Cop,5.80
"Beast with a Million Eyes, The",16.99
Wrong Turn 4,4.25
Deuce Bigalow: Male Gigolo,79.21
Kill! (Kiru),18.25
Blablablá,1.37
Shogun's Ninja (Ninja bugeicho momochi sandayu),70.70
Scream,57.26
Thirst (a.k.a. Three Strange Loves) (Törst),36.80
Hellsinki (Rööperi),1.78
Get Shorty,85.69
No Man's Land,44.85
"Strategy of the Snail, The (Estrategia del Caracol, La)",55.89
Mother Lode,90.24
Schmatta: Rags to Riches to Rags,34.94
Into the Sun,4.53
Mille bolle blu,6.83
Jauja,41.80
American Beauty,51.74
"Witches, The (Le streghe)",28.73
More Wild Wild West,28.58
Come Live with Me,70.46
Crackers,26.83
Cloak and Dagger,77.62
"Inspectors, The",43.15
"Great Happiness Space, The: Tale of an Osaka Love Thief",20.29
"Boys from Brazil, The",96.21
Eat,43.83
Joe,23.94
Color Me Blood Red,54.63
"Boot, Das (Boat, The)",38.92
Superpower,32.13
Eyes of the Mothman,66.10
Dhoom,38.39
Dead Calm,17.14
"Red Chapel, The (Røde kapel, Det)",1.78
In Dreams,69.00
Becoming Jane,63.57
DEFCON: The Documentary,58.00
Charm School (Niñas mal),80.69
Freeheld,0.59
"Dangerous Method, A",43.49
Afterglow,68.48
"Search, The",36.52
Clonehunter,13.26
Confidential Agent,42.41
Assault on a Queen,68.69
House on Haunted Hill,66.91
Breathless,30.93
Soylent Green,83.22
Go for Broke!,13.55
Doomsday Book,28.83
Bad Milo (Bad Milo!),32.72
Dust to Glory,62.22
Human Lanterns (Ren pi deng long),76.92
One-Way Ticket to Mombasa (Menolippu Mombasaan),91.51
"Amateur, The",23.07
Siam Sunset,17.22
North (Nord),31.58
Funny Games U.S.,34.52
DMT: The Spirit Molecule,93.88
"Night of the Hunter, The",55.82
Battle of the Bulge,45.10
Mickey One,20.90
Crystal Lake Memories: The Complete History of Friday the 13th,84.44
"Khroustaliov, My Car! (Khrustalyov, mashinu!)",83.57
Shiloh,45.78
"Guide for the Married Man, A",57.08
"Heart Is a Lonely Hunter, The",59.26
United 93,58.53
Union Pacific,37.08
"James Dean Story, The",63.92
Garfield Gets Real,38.07
Versailles,44.03
I Don't Know How She Does It,26.48
Ready to Wear (Pret-A-Porter),7.38
This Island Earth,81.09
Hidden (a.k.a. Cache) (Caché),22.90
Behind the Burly Q: The Story of Burlesque in America,70.69
"Lost Boys, The",65.18
Save the Tiger,61.85
Robin Hood: Men in Tights,55.70
Midnight,43.52
